Estatus,Transacción,Fecha de Transmisión,Proveedor,Tamaño del Archivo (KB),Número de Documentos,Estándar,Versión del Cliente,Tipo de Error,Tiempo de Procesamiento (ms),Canal de Transmisión,Sistema Receptor,Prioridad del Mensaje,Causa de la Falla,Detectado,Reportado por Cliente Final,Sistema Transmisor
Falla,850,2025-10-01,6911,501.94,4.0,EDIFACT,S4HANA,Desincronización de reloj,1023.46,API,Legacy,Alta,Formato no soportado,Sí,No,SAP
Éxito,856,2025-01-06,2043,,29.0,EDIFACT,410,Error de autenticación,1179.74,API,Legacy,Alta,Mal encoding,Sí,No,SAP
Falla,862,2025-08-29,12372,438.15,44.0,X12,S4HANA,Desincronización de reloj,1632.72,AS2,VAN,Media,Formato no soportado,No,Sí,SIMTEL
Falla,850,2025-08-21,14891,564.15,43.0,EDIFACT,S4HANA,Timeout,1031.01,API,SAP,Alta,Duplicado,No,Sí,SAP
Falla,862,2025-09-20,12647,407.44,41.0,EDIFACT,R/3,Formato inválido,1609.14,FTPS,SAP,Alta,Fallo en unidades de medida,No,Sí,SAP
Falla,810,2025-08-29,24549,556.98,27.0,EDIFACT,R/3,Timeout,850.71,AS2,SAP,Media,Falta un campo mandatorio,No,Sí,EPICOR
Falla,850,2025-10-21,17310,582.73,33.0,X12,SAP PI,Error de autenticación,1536.47,SFTP,VAN,Media,Falta un campo mandatorio,No,Sí,SEEBURGER
Falla,810,2025-06-19,25608,362.78,18.0,X12,ECC6.0,Timeout,1232.85,API,Legacy,Baja,Fallo en unidades de medida,No,Sí,LEGACY
Éxito,856,2025-08-04,29008,602.65,6.0,X12,ECC6.0,Desincronización de reloj,1162.25,AS2,Legacy,Alta,Mal encoding,No,Sí,SIMTEL
Falla,830,2025-06-30,20666,577.32,32.0,EDIFACT,R/3,Timeout,1193.13,FTPS,VAN,Media,Documento parcialmente transmitido,No,Sí,VAN
Éxito,856,2025-05-31,13932,655.25,,X12,SAP PI,Formato inválido,1044.1,SFTP,SAP,Baja,Desincronización de reloj,No,Sí,LEGACY
Éxito,856,2025-05-29,16980,500.54,12.0,EDIFACT,R/3,Sin respuesta,710.14,AS2,VAN,Baja,Desincronización de reloj,No,Sí,EPICOR
Falla,856,2025-03-27,12684,416.52,23.0,EDIFACT,,Desincronización de reloj,1797.76,FTPS,Legacy,Media,Certificado expirado,Sí,No,VAN
Éxito,850,2025-01-19,20497,625.41,,EDIFACT,SAP PI,Timeout,1388.92,API,SAP,Alta,Falta un campo mandatorio,No,Sí,SEEBURGER
Éxito,810,2025-12-22,29725,504.86,3.0,EDIFACT,SAP PI,Timeout,927.8,OFTP,SAP,Baja,Desincronización de reloj,Sí,No,EPICOR
Falla,850,2025-11-02,19084,682.28,33.0,EDIFACT,ECC6.0,Timeout,1506.06,FTPS,SAP,Baja,Certificado expirado,Sí,No,EPICOR
Falla,830,2025-06-05,11810,570.93,39.0,EDIFACT,ECC6.0,Desincronización de reloj,943.54,API,SAP,Baja,Duplicado,No,Sí,VAN
Falla,856,2025-10-16,17674,497.41,28.0,EDIFACT,ECC6.0,Timeout,1053.6,API,SAP,Baja,Fallo en unidades de medida,Sí,No,SEEBURGER
Éxito,862,2025-05-14,12373,411.85,18.0,EDIFACT,410,Sin respuesta,1166.08,FTPS,Legacy,Alta,Desincronización de reloj,Sí,No,SAP
Éxito,830,2025-02-01,8533,489.56,44.0,EDIFACT,S4HANA,Error de autenticación,1771.86,AS2,VAN,Alta,Error de autenticación,No,Sí,SAP
Falla,810,2025-11-19,33447,593.73,22.0,EDIFACT,,Timeout,940.96,AS2,SAP,Baja,Falta un campo mandatorio,No,Sí,SAP
Falla,830,2025-08-31,28925,349.19,20.0,EDIFACT,S4HANA,Sin respuesta,1223.85,OFTP,SAP,Baja,Error de autenticación,No,Sí,VAN
Éxito,850,2025-10-24,24208,459.5,16.0,EDIFACT,S4HANA,Desincronización de reloj,1172.22,OFTP,SAP,Media,Desincronización de reloj,Sí,Sí,SAP
Éxito,862,2025-03-28,6189,338.55,7.0,EDIFACT,S4HANA,Error de autenticación,1446.79,API,SAP,Alta,Formato no soportado,No,Sí,VAN
Éxito,850,2025-10-21,14355,395.9,49.0,EDIFACT,S4HANA,Desincronización de reloj,1262.64,API,Legacy,Baja,Mal encoding,No,Sí,VAN
Éxito,856,2025-01-27,6287,438.87,4.0,EDIFACT,410,Error de autenticación,639.21,AS2,WEBEDI,Alta,Documento parcialmente transmitido,No,Sí,SIMTEL
Falla,856,2025-12-03,5182,472.93,42.0,EDIFACT,SAP PI,Sin respuesta,966.6,API,SAP,Media,Documento parcialmente transmitido,Sí,No,VAN
Éxito,830,2025-05-30,23114,535.34,38.0,EDIFACT,ECC6.0,Sin respuesta,1330.5,OFTP,SAP,Alta,Fallo en unidades de medida,No,Sí,LEGACY
Éxito,856,2025-11-16,21380,570.18,34.0,EDIFACT,ECC6.0,Error de autenticación,1475.37,AS2,Legacy,Alta,Falta un campo mandatorio,No,Sí,VAN
Éxito,856,2025-01-14,10357,638.34,36.0,EDIFACT,ECC6.0,Sin respuesta,1438.3,AS2,SAP,Alta,Fallo en unidades de medida,No,Sí,VAN
Éxito,810,2025-05-27,7579,660.32,18.0,EDIFACT,S4HANA,Formato inválido,1116.05,AS2,Legacy,Media,Error de autenticación,No,Sí,SIMTEL
Falla,810,2025-09-06,17363,618.53,33.0,X12,ECC6.0,Error de autenticación,1313.3,SFTP,SAP,Alta,Duplicado,Sí,No,SAP
Falla,850,2025-02-12,14194,462.06,,X12,410,Timeout,1132.9,AS2,SAP,Baja,Error de autenticación,Sí,Sí,SEEBURGER
Éxito,850,2025-03-06,14774,523.38,48.0,X12,S4HANA,Timeout,1085.86,OFTP,Legacy,Baja,Falta un campo mandatorio,Sí,Sí,SEEBURGER
Éxito,810,2025-09-16,32857,443.77,,X12,S4HANA,Timeout,1592.44,OFTP,Legacy,Media,Mal encoding,No,Sí,SIMTEL
Falla,830,2025-02-09,21047,525.06,45.0,X12,410,Timeout,1453.15,AS2,SAP,Baja,Mal encoding,No,Sí,VAN
Falla,810,2025-05-23,29442,483.93,14.0,X12,SAP PI,Timeout,1105.94,API,Legacy,Media,Falta un campo mandatorio,Sí,Sí,SEEBURGER
Éxito,850,2025-05-10,2917,385.77,11.0,EDIFACT,410,Formato inválido,1673.52,API,SAP,Alta,Falta un campo mandatorio,No,Sí,EPICOR
Éxito,862,2025-03-09,20993,645.2,8.0,X12,410,Timeout,1173.77,AS2,Legacy,Media,Error de autenticación,Sí,Sí,LEGACY
Falla,856,2025-11-12,26593,670.81,42.0,X12,410,Sin respuesta,878.22,AS2,VAN,Baja,Fallo en unidades de medida,Sí,No,EPICOR
Falla,862,2025-05-24,26926,424.19,16.0,EDIFACT,SAP PI,Desincronización de reloj,1344.54,AS2,Legacy,Media,Certificado expirado,Sí,Sí,SEEBURGER
Falla,862,2025-05-21,25714,552.08,39.0,X12,ECC6.0,Sin respuesta,1271.61,API,Legacy,Media,Falta un campo mandatorio,Sí,Sí,VAN
Falla,856,2025-05-12,27978,428.51,37.0,EDIFACT,410,Sin respuesta,1441.82,AS2,Legacy,Baja,Fallo en unidades de medida,Sí,No,EPICOR
Falla,810,2025-01-08,2408,492.08,,EDIFACT,S4HANA,Formato inválido,863.45,AS2,WEBEDI,Media,Formato no soportado,Sí,Sí,VAN
Falla,830,2025-02-27,10008,446.84,42.0,X12,ECC6.0,Formato inválido,777.93,AS2,SAP,Baja,Desincronización de reloj,Sí,Sí,SIMTEL
Éxito,862,2025-11-06,29320,437.28,18.0,EDIFACT,,Sin respuesta,1345.76,AS2,SAP,Alta,Desincronización de reloj,Sí,No,SAP
Falla,830,2025-03-31,25458,519.02,7.0,EDIFACT,R/3,Sin respuesta,764.16,FTPS,Legacy,Alta,Certificado expirado,No,Sí,SAP
Falla,850,2025-10-30,15074,318.46,4.0,X12,410,Timeout,1050.05,OFTP,SAP,Baja,Formato no soportado,Sí,Sí,SAP
Falla,862,2025-03-19,27584,447.71,32.0,X12,ECC6.0,Desincronización de reloj,862.63,API,SAP,Media,Documento parcialmente transmitido,No,Sí,EPICOR
Falla,850,2025-12-04,30199,901.56,31.0,EDIFACT,S4HANA,Formato inválido,996.23,AS2,Legacy,Baja,Duplicado,Sí,Sí,SIMTEL
Éxito,810,2025-08-17,11211,345.89,10.0,EDIFACT,SAP PI,Desincronización de reloj,1323.23,AS2,VAN,Media,Desincronización de reloj,No,Sí,LEGACY
Éxito,862,2025-07-09,30227,461.97,30.0,EDIFACT,SAP PI,Desincronización de reloj,1504.55,FTPS,SAP,Baja,Desincronización de reloj,No,Sí,SAP
Falla,850,2025-03-31,19819,528.81,35.0,X12,ECC6.0,Formato inválido,629.29,AS2,Legacy,Media,Documento parcialmente transmitido,Sí,Sí,SEEBURGER
Éxito,850,2025-05-14,7452,482.04,45.0,X12,SAP PI,Desincronización de reloj,1344.18,AS2,Legacy,Alta,Desincronización de reloj,No,Sí,EPICOR
Éxito,810,2025-12-25,5845,423.61,31.0,EDIFACT,R/3,Timeout,846.27,SFTP,Legacy,Media,Duplicado,Sí,Sí,LEGACY
Éxito,830,2025-05-01,32493,596.8,31.0,X12,SAP PI,Formato inválido,689.42,SFTP,Legacy,Media,Falta un campo mandatorio,No,Sí,EPICOR
Éxito,830,2025-09-06,8927,514.94,46.0,EDIFACT,SAP PI,Sin respuesta,1147.98,AS2,Legacy,Baja,Desincronización de reloj,Sí,Sí,LEGACY
Éxito,862,2025-04-03,11494,437.66,46.0,EDIFACT,SAP PI,Error de autenticación,1462.3,API,WEBEDI,Alta,Duplicado,Sí,No,SAP
Éxito,810,2025-09-28,7835,585.73,33.0,EDIFACT,S4HANA,Timeout,1419.85,FTPS,Legacy,Media,Duplicado,No,Sí,SIMTEL
Falla,862,2025-01-17,20507,447.27,,X12,R/3,Formato inválido,1423.1,FTPS,SAP,Baja,Formato no soportado,Sí,No,SAP
Falla,830,2025-06-25,10549,412.51,10.0,X12,R/3,Desincronización de reloj,1355.49,FTPS,WEBEDI,Media,Formato no soportado,No,Sí,LEGACY
Falla,810,2025-02-13,23450,558.78,46.0,EDIFACT,SAP PI,Sin respuesta,1550.3,API,SAP,Alta,Duplicado,Sí,No,EPICOR
Falla,856,2025-03-16,11569,369.29,23.0,X12,ECC6.0,Error de autenticación,1542.49,AS2,Legacy,Baja,Desincronización de reloj,No,Sí,SIMTEL
Falla,810,2025-11-01,19410,675.78,7.0,X12,S4HANA,Formato inválido,1827.42,API,SAP,Alta,Desincronización de reloj,Sí,Sí,SEEBURGER
Éxito,810,2025-03-20,32836,651.61,,EDIFACT,ECC6.0,Timeout,757.48,OFTP,SAP,Alta,Fallo en unidades de medida,No,Sí,LEGACY
Falla,856,2025-09-11,2917,554.69,28.0,X12,,Timeout,1266.27,OFTP,VAN,Baja,Certificado expirado,No,Sí,SEEBURGER
Falla,850,2025-07-31,29556,441.78,21.0,X12,S4HANA,Sin respuesta,1797.68,API,Legacy,Media,Fallo en unidades de medida,Sí,Sí,EPICOR
Éxito,850,2025-07-16,29948,393.22,31.0,X12,SAP PI,Timeout,1414.13,OFTP,Legacy,Baja,Duplicado,Sí,Sí,EPICOR
Éxito,850,2025-05-02,3295,242.72,41.0,X12,S4HANA,Formato inválido,1304.99,SFTP,SAP,Media,Desincronización de reloj,No,Sí,EPICOR
Falla,830,2025-12-05,29142,661.6,27.0,X12,S4HANA,Sin respuesta,708.69,OFTP,SAP,Alta,Duplicado,Sí,Sí,EPICOR
Éxito,810,2025-08-14,4221,403.06,29.0,EDIFACT,ECC6.0,Error de autenticación,596.67,AS2,Legacy,Media,Mal encoding,Sí,No,LEGACY
Éxito,856,2025-11-23,8327,535.41,10.0,EDIFACT,410,Formato inválido,987.95,API,VAN,Alta,Fallo en unidades de medida,No,Sí,SEEBURGER
Éxito,830,2025-03-27,30281,519.9,8.0,X12,S4HANA,Timeout,1519.04,FTPS,Legacy,Baja,Fallo en unidades de medida,Sí,Sí,SAP
Éxito,856,2025-04-18,8296,332.75,9.0,EDIFACT,410,Error de autenticación,1142.03,SFTP,Legacy,Media,Falta un campo mandatorio,Sí,No,SEEBURGER
Falla,830,2025-10-23,21561,439.56,11.0,X12,410,,991.36,OFTP,Legacy,Baja,Desincronización de reloj,Sí,Sí,SAP
Éxito,830,2025-06-26,6577,,22.0,EDIFACT,ECC6.0,Sin respuesta,659.71,API,Legacy,Baja,Error de autenticación,Sí,Sí,SEEBURGER
Falla,830,2025-01-28,16963,579.31,40.0,X12,ECC6.0,Timeout,1233.83,AS2,Legacy,Baja,Desincronización de reloj,Sí,Sí,EPICOR
Falla,856,2025-11-25,7870,583.72,26.0,EDIFACT,SAP PI,Desincronización de reloj,1328.75,FTPS,SAP,Media,Duplicado,No,Sí,SIMTEL
Éxito,862,2025-05-16,10045,475.59,37.0,EDIFACT,SAP PI,Error de autenticación,1796.04,AS2,Legacy,Media,Mal encoding,Sí,Sí,EPICOR
Éxito,830,2025-03-01,12924,415.72,40.0,EDIFACT,S4HANA,,937.86,API,WEBEDI,Alta,Falta un campo mandatorio,Sí,No,LEGACY
Éxito,850,2025-01-27,11120,518.8,2.0,X12,SAP PI,Formato inválido,1040.28,API,SAP,Alta,Formato no soportado,No,Sí,VAN
Falla,810,2025-03-27,7327,610.71,19.0,EDIFACT,ECC6.0,Sin respuesta,769.6,SFTP,SAP,Alta,Mal encoding,Sí,Sí,SIMTEL
Éxito,862,2025-08-26,33568,351.85,16.0,X12,SAP PI,Desincronización de reloj,890.94,SFTP,Legacy,Alta,Desincronización de reloj,No,Sí,SIMTEL
Éxito,862,2025-07-24,3693,711.27,4.0,X12,SAP PI,Timeout,1468.4,AS2,Legacy,Baja,Fallo en unidades de medida,Sí,No,SEEBURGER
Éxito,856,2025-09-01,27854,475.62,49.0,EDIFACT,SAP PI,Timeout,1068.83,API,SAP,Alta,Fallo en unidades de medida,Sí,Sí,SEEBURGER
Éxito,862,2025-06-04,21421,488.12,38.0,EDIFACT,410,Formato inválido,1903.12,AS2,Legacy,Media,Formato no soportado,No,Sí,SIMTEL
Éxito,856,2025-09-01,16751,660.27,44.0,EDIFACT,SAP PI,Desincronización de reloj,856.33,SFTP,WEBEDI,Media,Desincronización de reloj,No,Sí,SEEBURGER
Falla,856,2025-09-30,25184,494.42,7.0,EDIFACT,ECC6.0,Timeout,1592.83,API,SAP,Media,Documento parcialmente transmitido,Sí,No,VAN
Éxito,850,2025-04-30,27193,489.49,14.0,EDIFACT,410,Error de autenticación,1822.31,API,Legacy,Alta,Error de autenticación,Sí,No,EPICOR
Éxito,830,2025-07-14,3821,408.65,12.0,EDIFACT,SAP PI,Error de autenticación,1237.06,AS2,SAP,Baja,Desincronización de reloj,Sí,Sí,SAP
Éxito,862,2025-12-16,25756,442.29,21.0,EDIFACT,SAP PI,Formato inválido,1397.58,API,Legacy,Media,Error de autenticación,No,Sí,LEGACY
Falla,830,2025-12-28,18418,429.39,34.0,EDIFACT,ECC6.0,Timeout,1364.92,AS2,Legacy,Media,Formato no soportado,No,Sí,SAP
Éxito,830,2025-07-19,10910,323.43,,X12,S4HANA,Formato inválido,1244.47,AS2,Legacy,Alta,Falta un campo mandatorio,Sí,Sí,LEGACY
Falla,830,2025-08-31,17030,291.97,36.0,EDIFACT,ECC6.0,Formato inválido,851.11,API,Legacy,Media,Fallo en unidades de medida,Sí,Sí,SEEBURGER
Falla,856,2025-05-15,16296,476.84,40.0,X12,R/3,Sin respuesta,1443.19,FTPS,Legacy,Media,Falta un campo mandatorio,Sí,Sí,SIMTEL
Éxito,830,2025-03-16,12681,361.89,42.0,X12,,Timeout,1227.6,SFTP,Legacy,Media,Duplicado,Sí,Sí,EPICOR
Éxito,862,2025-09-29,16871,,49.0,X12,S4HANA,Timeout,1574.09,OFTP,Legacy,Alta,Falta un campo mandatorio,Sí,No,SEEBURGER
Éxito,856,2025-08-11,28305,477.92,7.0,EDIFACT,ECC6.0,Formato inválido,1701.69,AS2,Legacy,Media,Fallo en unidades de medida,Sí,Sí,EPICOR
Falla,862,2025-01-07,23236,340.43,21.0,EDIFACT,410,Formato inválido,837.59,AS2,Legacy,Media,Formato no soportado,Sí,Sí,LEGACY
Falla,856,2025-05-28,19864,652.48,10.0,EDIFACT,410,Error de autenticación,1326.21,OFTP,Legacy,Baja,Formato no soportado,No,Sí,LEGACY
Falla,810,2025-08-18,19961,457.36,21.0,X12,ECC6.0,Sin respuesta,1792.56,AS2,SAP,Alta,Fallo en unidades de medida,No,Sí,SAP
Falla,810,2025-07-15,26608,551.51,49.0,X12,410,Formato inválido,969.54,FTPS,Legacy,Media,Documento parcialmente transmitido,Sí,No,VAN
Falla,810,2025-12-14,12769,664.41,16.0,EDIFACT,S4HANA,Timeout,1274.67,AS2,Legacy,Media,Documento parcialmente transmitido,Sí,Sí,EPICOR
Falla,810,2025-06-11,11637,496.62,25.0,EDIFACT,R/3,Sin respuesta,1298.53,AS2,VAN,Media,Mal encoding,Sí,Sí,EPICOR
Éxito,856,2025-09-29,22120,501.4,13.0,X12,R/3,Timeout,1490.45,API,SAP,Media,Documento parcialmente transmitido,Sí,No,LEGACY
Éxito,830,2025-12-16,12792,643.81,27.0,EDIFACT,S4HANA,Sin respuesta,1280.04,API,Legacy,Baja,Error de autenticación,Sí,Sí,SIMTEL
Falla,850,2025-01-22,7742,470.61,37.0,X12,SAP PI,Error de autenticación,1283.24,FTPS,SAP,Alta,Error de autenticación,Sí,Sí,SAP
Éxito,850,2025-02-19,14050,607.32,8.0,X12,SAP PI,Desincronización de reloj,867.86,API,Legacy,Media,Formato no soportado,Sí,No,SIMTEL
Éxito,810,2025-09-30,13522,492.59,30.0,EDIFACT,,Desincronización de reloj,1498.83,AS2,WEBEDI,Baja,Error de autenticación,Sí,Sí,SIMTEL
Falla,830,2025-11-23,5615,517.03,31.0,EDIFACT,410,Formato inválido,987.68,API,SAP,Baja,Desincronización de reloj,No,Sí,SAP
Falla,862,2025-07-01,15848,,7.0,X12,410,,1537.23,AS2,SAP,Alta,Mal encoding,Sí,Sí,LEGACY
Éxito,830,2025-08-10,4085,463.02,30.0,EDIFACT,SAP PI,Timeout,1582.81,OFTP,SAP,Baja,Documento parcialmente transmitido,Sí,No,SAP
Falla,862,2025-11-09,11241,446.52,18.0,EDIFACT,R/3,Timeout,836.24,FTPS,SAP,Alta,Documento parcialmente transmitido,No,Sí,SEEBURGER
Falla,850,2025-11-30,2989,434.74,23.0,EDIFACT,ECC6.0,Sin respuesta,1164.73,API,SAP,Baja,Certificado expirado,Sí,Sí,VAN
Éxito,830,2025-05-20,21544,370.44,38.0,EDIFACT,ECC6.0,Error de autenticación,1466.45,FTPS,Legacy,Alta,Error de autenticación,Sí,No,VAN
Falla,830,2025-06-21,24287,455.34,45.0,X12,410,Formato inválido,756.29,FTPS,SAP,Alta,Fallo en unidades de medida,No,Sí,SAP
Éxito,850,2025-05-19,32244,473.46,,X12,S4HANA,Formato inválido,1299.83,OFTP,SAP,Alta,Mal encoding,Sí,Sí,SAP
Éxito,830,2025-05-17,14820,540.75,30.0,X12,SAP PI,Timeout,833.13,API,SAP,Media,Mal encoding,Sí,No,LEGACY
Éxito,862,2025-02-20,25932,490.77,30.0,X12,410,Timeout,1525.06,API,Legacy,Alta,Fallo en unidades de medida,Sí,Sí,VAN
Éxito,830,2025-05-11,1728,607.74,8.0,X12,S4HANA,Desincronización de reloj,1582.82,AS2,SAP,Media,Fallo en unidades de medida,Sí,Sí,EPICOR
Éxito,862,2025-12-02,22356,603.24,12.0,EDIFACT,S4HANA,Formato inválido,1175.08,SFTP,SAP,Alta,Desincronización de reloj,No,Sí,SAP
Falla,810,2025-10-27,6743,634.52,10.0,X12,SAP PI,Sin respuesta,1159.18,API,Legacy,Media,Duplicado,Sí,Sí,LEGACY
Falla,830,2025-07-20,14902,479.77,7.0,EDIFACT,S4HANA,Error de autenticación,637.54,AS2,SAP,Baja,Formato no soportado,No,Sí,SEEBURGER
Falla,862,2025-08-25,25508,448.9,39.0,EDIFACT,S4HANA,Formato inválido,1543.83,SFTP,SAP,Alta,Falta un campo mandatorio,Sí,Sí,EPICOR
Falla,850,2025-12-12,32444,363.25,17.0,EDIFACT,SAP PI,Sin respuesta,1353.19,API,SAP,Baja,Duplicado,Sí,No,SEEBURGER
Éxito,810,2025-05-04,30908,630.84,32.0,X12,R/3,Timeout,1363.17,API,Legacy,Baja,Falta un campo mandatorio,Sí,Sí,SAP
Éxito,830,2025-12-11,22237,384.55,5.0,X12,ECC6.0,Sin respuesta,1175.32,AS2,SAP,Media,Mal encoding,Sí,No,EPICOR
Falla,862,2025-10-29,16351,409.89,42.0,EDIFACT,R/3,Sin respuesta,1261.86,AS2,SAP,Baja,Fallo en unidades de medida,Sí,Sí,SIMTEL
Éxito,830,2025-04-10,22813,522.57,21.0,X12,ECC6.0,Formato inválido,1105.15,API,SAP,Media,Mal encoding,No,Sí,SIMTEL
Falla,862,2025-09-24,15595,,31.0,EDIFACT,ECC6.0,Sin respuesta,803.23,AS2,Legacy,Alta,Mal encoding,Sí,Sí,SAP
Falla,830,2025-06-22,17678,644.73,15.0,EDIFACT,,Formato inválido,1755.45,AS2,Legacy,Media,Desincronización de reloj,Sí,No,SIMTEL
Falla,810,2025-12-13,8816,,13.0,X12,R/3,Desincronización de reloj,935.19,API,SAP,Media,Mal encoding,No,Sí,SEEBURGER
Éxito,810,2025-12-20,17247,502.91,46.0,EDIFACT,SAP PI,Desincronización de reloj,762.39,API,WEBEDI,Alta,Formato no soportado,No,Sí,SAP
Éxito,830,2025-04-03,14489,314.73,49.0,EDIFACT,R/3,Sin respuesta,1503.05,AS2,Legacy,Media,Falta un campo mandatorio,Sí,No,SEEBURGER
Éxito,830,2025-06-10,14699,623.22,7.0,X12,S4HANA,,1137.75,FTPS,SAP,Media,Fallo en unidades de medida,No,Sí,SEEBURGER
Éxito,856,2025-10-08,2199,332.42,24.0,X12,410,Error de autenticación,996.07,AS2,SAP,Alta,Documento parcialmente transmitido,Sí,Sí,EPICOR
Falla,830,2025-01-06,1938,748.77,4.0,EDIFACT,,Timeout,901.75,OFTP,VAN,Alta,Falta un campo mandatorio,Sí,Sí,SIMTEL
Éxito,830,2025-12-11,23704,,41.0,EDIFACT,R/3,Desincronización de reloj,1476.92,OFTP,SAP,Baja,Formato no soportado,No,Sí,SAP
Éxito,810,2025-01-05,17496,471.26,19.0,X12,S4HANA,Sin respuesta,299.08,AS2,SAP,Media,Mal encoding,No,Sí,LEGACY
Éxito,830,2025-02-04,7681,496.84,46.0,EDIFACT,S4HANA,Sin respuesta,1399.21,AS2,WEBEDI,Alta,Falta un campo mandatorio,Sí,No,EPICOR
Falla,850,2025-01-07,11377,392.6,35.0,X12,,Sin respuesta,1139.26,AS2,Legacy,Baja,Documento parcialmente transmitido,No,Sí,LEGACY
Falla,830,2025-07-30,20038,565.79,29.0,EDIFACT,410,Sin respuesta,1482.88,AS2,VAN,Alta,Formato no soportado,Sí,Sí,SAP
Éxito,856,2025-02-20,14403,459.14,36.0,EDIFACT,410,Sin respuesta,1527.41,API,Legacy,Alta,Mal encoding,No,Sí,LEGACY
Éxito,862,2025-09-26,23923,468.74,34.0,X12,410,Error de autenticación,1662.72,OFTP,Legacy,Alta,Documento parcialmente transmitido,No,Sí,VAN
Éxito,810,2025-02-23,23893,628.51,8.0,X12,R/3,Timeout,1814.58,AS2,Legacy,Media,Documento parcialmente transmitido,No,Sí,SAP
Éxito,850,2025-12-17,24260,328.02,2.0,X12,R/3,Error de autenticación,681.72,API,SAP,Baja,Fallo en unidades de medida,No,Sí,VAN
Falla,862,2025-08-17,28991,480.42,4.0,X12,SAP PI,Formato inválido,614.53,AS2,VAN,Media,Falta un campo mandatorio,Sí,Sí,EPICOR
Éxito,850,2025-06-29,29294,489.06,2.0,X12,ECC6.0,Error de autenticación,1239.03,AS2,Legacy,Media,Formato no soportado,No,Sí,LEGACY
Éxito,810,2025-04-23,23021,513.81,30.0,X12,S4HANA,Timeout,1394.91,FTPS,Legacy,Baja,Falta un campo mandatorio,No,Sí,EPICOR
Éxito,856,2025-05-26,6779,444.38,29.0,X12,S4HANA,Timeout,1104.3,AS2,Legacy,Media,Desincronización de reloj,Sí,No,SIMTEL
Falla,810,2025-05-09,2460,468.1,4.0,X12,S4HANA,Formato inválido,409.02,FTPS,SAP,Baja,Certificado expirado,Sí,No,SAP
Falla,850,2025-04-09,11532,684.92,21.0,X12,SAP PI,Formato inválido,1138.66,SFTP,Legacy,Media,Formato no soportado,Sí,Sí,VAN
Éxito,850,2025-01-18,31478,549.95,9.0,EDIFACT,SAP PI,Timeout,1370.55,SFTP,SAP,Media,Fallo en unidades de medida,Sí,Sí,SIMTEL
Éxito,810,2025-01-13,26354,422.09,2.0,EDIFACT,R/3,Desincronización de reloj,873.85,API,VAN,Alta,Desincronización de reloj,No,Sí,EPICOR
Éxito,830,2025-11-14,22105,565.22,20.0,EDIFACT,SAP PI,Timeout,1116.02,AS2,Legacy,Alta,Duplicado,No,Sí,EPICOR
Éxito,810,2025-02-17,21641,504.56,49.0,X12,SAP PI,Formato inválido,979.98,API,SAP,Baja,Mal encoding,Sí,No,SAP
Éxito,856,2025-01-30,9088,574.19,33.0,X12,,Desincronización de reloj,717.25,API,Legacy,Baja,Fallo en unidades de medida,No,Sí,SEEBURGER
Falla,810,2025-11-01,27420,479.6,6.0,X12,SAP PI,Formato inválido,868.76,API,SAP,Alta,Certificado expirado,No,Sí,SEEBURGER
Falla,862,2025-12-03,22655,419.22,29.0,EDIFACT,ECC6.0,,1254.89,API,Legacy,Media,Mal encoding,No,Sí,SIMTEL
Falla,830,2025-04-22,10407,333.15,16.0,X12,SAP PI,Timeout,1421.91,AS2,WEBEDI,Alta,Duplicado,Sí,No,SEEBURGER
Éxito,862,2025-11-03,15799,615.24,36.0,EDIFACT,410,Error de autenticación,1170.93,API,Legacy,Baja,Duplicado,Sí,No,LEGACY
Falla,810,2025-11-23,11198,568.41,5.0,X12,SAP PI,Sin respuesta,971.21,API,Legacy,Alta,Duplicado,No,Sí,LEGACY
Falla,830,2025-03-04,21806,535.67,,EDIFACT,R/3,Error de autenticación,1204.01,SFTP,Legacy,Baja,Desincronización de reloj,Sí,Sí,EPICOR
Falla,862,2025-12-29,20599,564.89,9.0,EDIFACT,,,1366.94,FTPS,VAN,Media,Falta un campo mandatorio,Sí,Sí,SIMTEL
Éxito,862,2025-03-03,2848,623.67,32.0,EDIFACT,SAP PI,Timeout,1031.9,API,Legacy,Media,Desincronización de reloj,Sí,No,SAP
Éxito,830,2025-02-14,6509,331.69,37.0,X12,R/3,Formato inválido,1448.33,API,Legacy,Baja,Duplicado,Sí,No,SEEBURGER
Falla,830,2025-11-06,23970,508.33,34.0,EDIFACT,ECC6.0,Desincronización de reloj,1061.75,AS2,Legacy,Alta,Mal encoding,Sí,No,VAN
Éxito,850,2025-03-08,26054,318.92,39.0,X12,,Desincronización de reloj,1359.98,AS2,SAP,Alta,Error de autenticación,Sí,Sí,EPICOR
Falla,830,2025-07-12,28519,460.6,47.0,X12,ECC6.0,Sin respuesta,660.77,FTPS,Legacy,Alta,Falta un campo mandatorio,No,Sí,VAN
Falla,810,2025-12-03,6369,532.99,40.0,X12,410,Formato inválido,1734.72,AS2,SAP,Media,Fallo en unidades de medida,No,Sí,SAP
Falla,856,2025-11-28,32406,464.8,29.0,X12,S4HANA,Sin respuesta,1499.54,AS2,Legacy,Media,Duplicado,Sí,No,EPICOR
Falla,850,2025-10-17,5461,676.24,31.0,X12,SAP PI,Desincronización de reloj,1019.67,AS2,Legacy,Baja,Certificado expirado,Sí,No,LEGACY
