Estatus,Transacción,Fecha de Transmisión,Proveedor,Tamaño del Archivo (KB),Número de Documentos,Estándar,Versión del Cliente,Tipo de Error,Tiempo de Procesamiento (ms),Canal de Transmisión,Sistema Receptor,Prioridad del Mensaje,Causa de la Falla,Detectado,Reportado por Cliente Final,Sistema Transmisor,multa,retrabajo (hrs)
Éxito,830,2025-07-30,31442,390.75,57.0,EDIFACT,,Error de autenticación,1417.93,AS2,WEBEDI,Baja,Duplicado,Sí,Sí,SEEBURGER,0.0,0.0
Éxito,856,2025-06-05,13003,317.96,46.0,EDIFACT,ECC6.0,Formato inválido,1153.79,AS2,WEBEDI,Baja,Formato no soportado,No,Sí,SEEBURGER,0.0,0.0
Éxito,850,2025-08-15,30078,550.12,80.0,X12,S4HANA,Sin respuesta,1996.24,OFTP,SAP,Media,Falta un campo mandatorio,Sí,No,EPICOR,0.0,0.0
Éxito,830,2025-11-23,12464,478.65,70.0,EDIFACT,410,Timeout,1736.9,AS2,WEBEDI,Baja,Mal encoding,No,Sí,VAN,0.0,0.0
Éxito,862,2025-05-21,29229,370.59,54.0,X12,ECC6.0,Sin respuesta,1344.78,API,SAP,Baja,Desincronización de reloj,No,Sí,EPICOR,0.0,0.0
Falla,830,2025-02-24,3628,629.52,92.0,EDIFACT,S4HANA,Formato inválido,2284.37,FTPS,WEBEDI,Media,Duplicado,No,Sí,SAP,276.0,4.6
Éxito,850,2025-03-09,21524,432.95,63.0,X12,,Error de autenticación,1571.06,OFTP,VAN,Baja,Mal encoding,Sí,Sí,SIMTEL,0.0,0.0
Falla,810,2025-04-05,30351,669.81,98.0,EDIFACT,,Error de autenticación,2430.57,API,SAP,Media,Falta un campo mandatorio,No,Sí,EPICOR,294.0,4.9
Éxito,850,2025-01-14,25361,517.22,76.0,X12,SAP PI,Error de autenticación,1876.86,API,SAP,Baja,Error de autenticación,Sí,No,SEEBURGER,0.0,0.0
Éxito,810,2025-11-10,2061,460.51,67.0,X12,ECC6.0,Sin respuesta,1671.07,AS2,,Media,Documento parcialmente transmitido,No,Sí,SEEBURGER,0.0,0.0
Éxito,862,2025-11-12,8153,474.3,69.0,EDIFACT,R/3,Error de autenticación,,FTPS,SAP,Baja,Mal encoding,No,Sí,SEEBURGER,0.0,0.0
Éxito,862,2025-05-17,32480,529.32,77.0,EDIFACT,ECC6.0,Formato inválido,1920.77,FTPS,WEBEDI,Alta,Falta un campo mandatorio,No,Sí,SIMTEL,0.0,0.0
Éxito,862,2025-11-07,11502,473.18,69.0,EDIFACT,ECC6.0,Desincronización de reloj,1717.05,FTPS,Legacy,Alta,Falta un campo mandatorio,No,Sí,VAN,0.0,0.0
Éxito,862,2025-11-10,20817,563.09,82.0,X12,410,Timeout,2043.31,OFTP,SAP,Baja,Certificado expirado,No,Sí,LEGACY,0.0,0.0
Falla,856,2025-04-29,9983,599.15,88.0,X12,S4HANA,Formato inválido,2174.16,SFTP,SAP,Baja,Fallo en unidades de medida,No,Sí,LEGACY,264.0,4.4
Éxito,810,2025-04-29,3410,483.97,71.0,EDIFACT,ECC6.0,Desincronización de reloj,1756.2,AS2,,Baja,Mal encoding,No,Sí,SIMTEL,0.0,0.0
Falla,862,2025-04-29,16600,609.18,89.0,EDIFACT,SAP PI,Formato inválido,2210.56,API,SAP,Baja,Duplicado,No,Sí,SEEBURGER,267.0,4.45
Éxito,856,2025-12-18,8731,531.55,78.0,X12,SAP PI,Formato inválido,1928.86,OFTP,SAP,Media,Documento parcialmente transmitido,No,Sí,SEEBURGER,0.0,0.0
Éxito,856,2025-01-14,14382,470.73,69.0,EDIFACT,SAP PI,Error de autenticación,1708.16,API,SAP,Media,Error de autenticación,No,Sí,LEGACY,0.0,0.0
Falla,850,2025-02-10,18832,592.07,87.0,EDIFACT,ECC6.0,Error de autenticación,2148.47,API,SAP,Alta,Documento parcialmente transmitido,No,Sí,VAN,261.0,4.35
Éxito,862,2025-12-19,12220,331.71,48.0,X12,R/3,Desincronización de reloj,1203.69,AS2,Legacy,Alta,Documento parcialmente transmitido,Sí,Sí,SIMTEL,0.0,0.0
Falla,856,2025-09-02,2849,638.87,93.0,EDIFACT,R/3,Desincronización de reloj,2318.29,API,SAP,Baja,Mal encoding,No,Sí,SIMTEL,279.0,4.65
Éxito,856,2025-03-10,10073,512.6,75.0,EDIFACT,S4HANA,Error de autenticación,1860.09,API,VAN,Alta,Formato no soportado,Sí,Sí,SAP,0.0,0.0
Éxito,862,2025-09-15,11397,440.3,64.0,X12,ECC6.0,Formato inválido,1597.73,API,Legacy,Baja,Error de autenticación,No,Sí,EPICOR,0.0,0.0
Éxito,850,2025-11-06,1810,428.51,63.0,EDIFACT,ECC6.0,Sin respuesta,1554.95,API,VAN,Alta,Mal encoding,No,Sí,SEEBURGER,0.0,0.0
Éxito,856,2025-08-29,21299,455.67,67.0,EDIFACT,SAP PI,Error de autenticación,,AS2,Legacy,Media,Documento parcialmente transmitido,Sí,Sí,SEEBURGER,0.0,0.0
Falla,810,2025-12-31,7290,570.59,83.0,EDIFACT,R/3,Desincronización de reloj,2070.52,AS2,WEBEDI,Media,Documento parcialmente transmitido,Sí,Sí,SEEBURGER,249.0,4.15
Éxito,830,2025-11-29,11191,531.16,78.0,X12,410,Error de autenticación,1927.44,AS2,Legacy,Alta,Mal encoding,Sí,Sí,VAN,0.0,0.0
Éxito,830,2025-07-11,33300,454.1,66.0,X12,R/3,Formato inválido,1647.81,AS2,Legacy,Alta,Error de autenticación,No,Sí,SAP,0.0,0.0
Éxito,830,2025-04-05,12587,445.91,65.0,EDIFACT,S4HANA,Sin respuesta,1618.09,FTPS,WEBEDI,Alta,Duplicado,Sí,Sí,SAP,0.0,0.0
Falla,856,2025-09-09,14954,774.36,113.0,EDIFACT,SAP PI,Desincronización de reloj,2809.95,AS2,SAP,Media,Certificado expirado,No,Sí,SAP,300.0,5.65
Falla,830,2025-08-31,10353,773.34,113.0,EDIFACT,R/3,Desincronización de reloj,2806.25,API,SAP,Media,Certificado expirado,No,Sí,SIMTEL,300.0,5.65
Falla,830,2025-03-12,21332,605.12,88.0,EDIFACT,ECC6.0,Desincronización de reloj,2195.82,AS2,Legacy,Baja,Documento parcialmente transmitido,Sí,Sí,VAN,264.0,4.4
Éxito,862,2025-03-25,20158,422.55,62.0,EDIFACT,,Desincronización de reloj,1533.32,OFTP,SAP,Media,Mal encoding,No,Sí,VAN,0.0,0.0
Falla,856,2025-04-09,27574,575.41,84.0,X12,S4HANA,Sin respuesta,2088.01,AS2,Legacy,Media,Mal encoding,Sí,No,SAP,252.0,4.2
Éxito,856,2025-04-26,11765,425.59,62.0,X12,410,Sin respuesta,1544.36,SFTP,SAP,Media,Desincronización de reloj,No,Sí,SIMTEL,0.0,0.0
Éxito,862,2025-01-17,17550,477.11,70.0,EDIFACT,410,Desincronización de reloj,1731.31,FTPS,SAP,Baja,Mal encoding,Sí,No,LEGACY,0.0,0.0
Falla,856,2025-07-29,13129,636.56,93.0,EDIFACT,S4HANA,Error de autenticación,2309.91,AS2,VAN,Baja,Fallo en unidades de medida,No,Sí,SAP,279.0,4.65
Éxito,810,2025-01-08,3643,475.59,70.0,X12,R/3,Timeout,1725.79,AS2,SAP,Media,Fallo en unidades de medida,No,Sí,SAP,0.0,0.0
Éxito,850,2025-05-19,16344,471.72,69.0,X12,ECC6.0,,1711.75,AS2,Legacy,Alta,Error de autenticación,No,Sí,EPICOR,0.0,0.0
Éxito,862,2025-07-31,30737,449.43,66.0,X12,SAP PI,Error de autenticación,1630.87,AS2,Legacy,Baja,Error de autenticación,No,Sí,SEEBURGER,0.0,0.0
Éxito,830,2025-04-24,17676,418.29,61.0,X12,ECC6.0,Desincronización de reloj,1517.87,API,Legacy,Media,Falta un campo mandatorio,Sí,No,SEEBURGER,0.0,0.0
Éxito,856,2025-12-10,11298,473.81,69.0,X12,R/3,Sin respuesta,1719.33,API,SAP,Media,Error de autenticación,No,Sí,VAN,0.0,0.0
Falla,810,2025-04-14,14988,574.04,84.0,EDIFACT,410,Sin respuesta,2083.04,API,SAP,Alta,Duplicado,Sí,Sí,SAP,252.0,4.2
Éxito,810,2025-04-15,22624,567.69,83.0,EDIFACT,SAP PI,Error de autenticación,2060.0,API,VAN,Alta,Fallo en unidades de medida,No,Sí,VAN,0.0,0.0
Éxito,850,2025-02-03,27508,529.38,77.0,EDIFACT,ECC6.0,Error de autenticación,,AS2,Legacy,Media,Desincronización de reloj,No,Sí,EPICOR,0.0,0.0
Falla,810,2025-04-01,16326,617.64,90.0,X12,ECC6.0,Error de autenticación,2241.26,FTPS,Legacy,Alta,Duplicado,Sí,No,EPICOR,270.0,4.5
Éxito,856,2025-08-13,11643,327.55,48.0,X12,SAP PI,Desincronización de reloj,1188.59,API,Legacy,Alta,Mal encoding,No,Sí,LEGACY,0.0,0.0
Éxito,856,2025-11-12,29999,505.26,74.0,X12,S4HANA,Formato inválido,1833.46,API,Legacy,Media,Desincronización de reloj,Sí,No,SIMTEL,0.0,0.0
Éxito,810,2025-09-08,1959,429.1,63.0,EDIFACT,,Timeout,1557.09,AS2,VAN,Media,Error de autenticación,Sí,Sí,EPICOR,0.0,0.0
Falla,856,2025-12-19,9081,698.44,102.0,X12,ECC6.0,Desincronización de reloj,2534.46,AS2,SAP,Baja,Desincronización de reloj,Sí,Sí,VAN,300.0,5.1
Éxito,856,2025-06-16,29025,474.39,69.0,EDIFACT,SAP PI,Timeout,1721.44,AS2,Legacy,Media,Error de autenticación,Sí,No,LEGACY,0.0,0.0
Falla,830,2025-08-23,18222,574.16,84.0,EDIFACT,ECC6.0,Formato inválido,,API,SAP,Baja,Desincronización de reloj,No,Sí,EPICOR,252.0,4.2
Éxito,856,2025-08-07,13636,462.67,68.0,EDIFACT,S4HANA,Desincronización de reloj,1678.91,API,,Baja,Error de autenticación,No,Sí,VAN,0.0,0.0
Falla,856,2025-07-27,23335,592.96,87.0,X12,SAP PI,Sin respuesta,2151.7,API,VAN,Baja,Mal encoding,No,Sí,SAP,261.0,4.35
Falla,862,2025-11-08,28090,578.98,85.0,X12,R/3,Timeout,2100.97,API,Legacy,Media,Fallo en unidades de medida,No,Sí,SEEBURGER,255.0,4.25
Éxito,862,2025-07-14,5521,447.78,65.0,EDIFACT,S4HANA,Sin respuesta,1624.88,AS2,Legacy,Media,Error de autenticación,Sí,No,LEGACY,0.0,0.0
Éxito,862,2025-06-10,26421,356.93,52.0,X12,410,Error de autenticación,1295.21,API,SAP,Media,Duplicado,Sí,No,SAP,0.0,0.0
Falla,810,2025-07-21,30748,713.84,,EDIFACT,SAP PI,Error de autenticación,2590.34,OFTP,SAP,Baja,Certificado expirado,No,Sí,SIMTEL,,
Éxito,830,2025-11-10,31743,470.92,69.0,EDIFACT,S4HANA,Formato inválido,1708.85,AS2,Legacy,Media,Error de autenticación,No,Sí,SEEBURGER,0.0,0.0
Falla,830,2025-10-20,7144,600.43,88.0,EDIFACT,S4HANA,Desincronización de reloj,2178.81,API,SAP,Media,Error de autenticación,Sí,Sí,EPICOR,264.0,4.4
Éxito,850,2025-11-01,18827,453.53,66.0,EDIFACT,ECC6.0,Sin respuesta,,AS2,VAN,Baja,Duplicado,No,Sí,VAN,0.0,0.0
Falla,862,2025-10-02,18230,709.78,104.0,EDIFACT,,Formato inválido,2575.61,AS2,Legacy,Alta,Documento parcialmente transmitido,No,Sí,VAN,300.0,5.2
Éxito,862,2025-09-26,21779,450.17,66.0,EDIFACT,S4HANA,Error de autenticación,1633.55,AS2,WEBEDI,Alta,Documento parcialmente transmitido,Sí,Sí,LEGACY,0.0,0.0
Éxito,856,2025-11-25,29396,510.06,75.0,EDIFACT,SAP PI,Sin respuesta,1850.88,OFTP,Legacy,Media,Falta un campo mandatorio,Sí,Sí,SAP,0.0,0.0
Falla,810,2025-12-27,29772,732.2,107.0,EDIFACT,S4HANA,Sin respuesta,2656.96,OFTP,Legacy,Baja,Desincronización de reloj,Sí,Sí,SAP,300.0,5.35
Éxito,810,2025-01-20,10017,340.17,50.0,X12,S4HANA,Desincronización de reloj,1234.39,SFTP,WEBEDI,Baja,Mal encoding,No,Sí,EPICOR,0.0,0.0
Falla,850,2025-09-24,8111,620.62,91.0,X12,410,Sin respuesta,2252.07,API,Legacy,Baja,Formato no soportado,Sí,Sí,SEEBURGER,273.0,4.55
Éxito,830,2025-02-25,20023,497.47,73.0,EDIFACT,R/3,Sin respuesta,1805.19,API,Legacy,Baja,Documento parcialmente transmitido,No,Sí,EPICOR,0.0,0.0
Falla,862,2025-08-20,22274,570.77,83.0,EDIFACT,SAP PI,Desincronización de reloj,2071.18,AS2,SAP,Baja,Mal encoding,Sí,Sí,VAN,249.0,4.15
Éxito,850,2025-08-22,13305,465.2,68.0,X12,410,Timeout,1688.09,API,Legacy,Alta,Falta un campo mandatorio,Sí,Sí,SEEBURGER,0.0,0.0
Éxito,810,2025-05-06,25711,418.81,61.0,EDIFACT,R/3,Desincronización de reloj,1519.75,API,Legacy,Media,Documento parcialmente transmitido,No,Sí,EPICOR,0.0,0.0
Éxito,810,2025-09-23,9317,503.72,,X12,S4HANA,Formato inválido,1827.87,OFTP,,Media,Documento parcialmente transmitido,No,Sí,SAP,0.0,0.0
Falla,862,2025-10-03,28974,593.54,87.0,X12,S4HANA,Formato inválido,2153.8,FTPS,,Media,Falta un campo mandatorio,No,Sí,SIMTEL,261.0,4.35
Éxito,862,2025-07-22,13433,417.96,61.0,EDIFACT,ECC6.0,Error de autenticación,1516.67,API,SAP,Alta,Fallo en unidades de medida,No,Sí,LEGACY,0.0,0.0
Éxito,862,2025-01-21,18143,512.74,75.0,EDIFACT,R/3,,1860.6,API,Legacy,Baja,Error de autenticación,No,Sí,LEGACY,0.0,0.0
Éxito,830,2025-07-18,25210,459.81,67.0,EDIFACT,SAP PI,Formato inválido,1668.53,AS2,Legacy,Media,Formato no soportado,No,Sí,SIMTEL,0.0,0.0
Falla,810,2025-09-22,31690,762.46,111.0,X12,SAP PI,Sin respuesta,2766.77,API,Legacy,Alta,Formato no soportado,Sí,Sí,SIMTEL,300.0,5.55
Falla,810,2025-11-19,32406,634.15,,EDIFACT,ECC6.0,Desincronización de reloj,2301.17,AS2,Legacy,Alta,Mal encoding,Sí,No,EPICOR,,
Éxito,856,2025-01-26,7988,566.62,83.0,EDIFACT,S4HANA,Formato inválido,2056.12,API,SAP,Baja,Duplicado,No,Sí,SAP,0.0,0.0
Éxito,810,2025-04-08,18705,536.92,78.0,X12,,Error de autenticación,1948.34,SFTP,SAP,Media,Certificado expirado,No,Sí,SEEBURGER,0.0,0.0
Éxito,810,2025-05-30,7489,343.42,50.0,X12,R/3,Formato inválido,1246.18,AS2,Legacy,Media,Certificado expirado,No,Sí,SAP,0.0,0.0
Éxito,862,2025-08-14,28865,481.31,70.0,EDIFACT,ECC6.0,Error de autenticación,1746.55,FTPS,SAP,Media,Certificado expirado,No,Sí,LEGACY,0.0,0.0
Falla,862,2025-07-23,7136,592.23,87.0,EDIFACT,S4HANA,Desincronización de reloj,2149.05,AS2,SAP,Baja,Documento parcialmente transmitido,No,Sí,SAP,261.0,4.35
Éxito,830,2025-06-05,22549,455.78,67.0,X12,S4HANA,Timeout,1653.91,SFTP,Legacy,Media,Duplicado,No,Sí,SAP,0.0,0.0
Éxito,810,2025-05-27,8594,536.06,78.0,X12,ECC6.0,Desincronización de reloj,1945.22,AS2,Legacy,Baja,Formato no soportado,Sí,No,VAN,0.0,0.0
Éxito,850,2025-08-25,6105,399.66,58.0,EDIFACT,410,Error de autenticación,1450.26,API,Legacy,Baja,Error de autenticación,No,Sí,SEEBURGER,0.0,0.0
Éxito,810,2025-03-27,19448,391.22,57.0,EDIFACT,SAP PI,Sin respuesta,1419.64,API,Legacy,Media,Documento parcialmente transmitido,No,Sí,SEEBURGER,0.0,0.0
Falla,810,2025-08-05,32236,728.12,106.0,EDIFACT,,Formato inválido,2642.16,API,Legacy,Alta,Error de autenticación,No,Sí,SAP,300.0,5.3
Éxito,850,2025-11-10,24228,491.45,72.0,EDIFACT,,Error de autenticación,1783.35,AS2,Legacy,Baja,Certificado expirado,No,Sí,VAN,0.0,0.0
Éxito,810,2025-01-28,10900,422.19,62.0,EDIFACT,410,Formato inválido,1532.02,AS2,SAP,Baja,Mal encoding,Sí,Sí,VAN,0.0,0.0
Éxito,850,2025-12-20,26385,405.78,59.0,EDIFACT,R/3,Error de autenticación,1472.47,AS2,SAP,Media,Error de autenticación,Sí,Sí,LEGACY,0.0,0.0
Éxito,862,2025-09-22,3340,540.16,79.0,EDIFACT,,Sin respuesta,1960.1,API,SAP,Media,Mal encoding,Sí,No,EPICOR,0.0,0.0
Falla,862,2025-03-14,9176,693.47,,X12,SAP PI,Timeout,2516.42,API,SAP,Alta,Documento parcialmente transmitido,Sí,No,EPICOR,,
Éxito,850,2025-08-26,13045,430.12,63.0,X12,ECC6.0,Desincronización de reloj,1560.79,SFTP,,Alta,Certificado expirado,No,Sí,SEEBURGER,0.0,0.0
Éxito,810,2025-11-27,9502,519.92,76.0,EDIFACT,410,Sin respuesta,1886.66,AS2,SAP,Alta,Desincronización de reloj,Sí,No,LEGACY,0.0,0.0
Éxito,850,2025-08-20,33402,514.87,75.0,EDIFACT,SAP PI,Sin respuesta,1868.33,API,WEBEDI,Baja,Mal encoding,Sí,Sí,SAP,0.0,0.0
Falla,850,2025-02-16,11076,666.57,97.0,X12,SAP PI,Formato inválido,2418.81,AS2,SAP,Baja,Falta un campo mandatorio,Sí,Sí,EPICOR,291.0,4.85
Éxito,862,2025-09-14,3807,528.07,77.0,EDIFACT,S4HANA,Formato inválido,1916.23,AS2,Legacy,Baja,Falta un campo mandatorio,Sí,Sí,LEGACY,0.0,0.0
Éxito,850,2025-02-27,15731,360.39,53.0,X12,ECC6.0,Timeout,1307.76,API,Legacy,Alta,Documento parcialmente transmitido,Sí,Sí,SEEBURGER,0.0,0.0
Falla,856,2025-04-03,27257,575.26,84.0,EDIFACT,410,Error de autenticación,2087.47,API,SAP,Baja,Falta un campo mandatorio,No,Sí,SEEBURGER,252.0,4.2
Éxito,856,2025-10-27,12165,517.1,76.0,X12,,Error de autenticación,1876.42,AS2,VAN,Baja,Mal encoding,Sí,Sí,SAP,0.0,0.0
Éxito,862,2025-12-23,16615,413.29,60.0,X12,R/3,Sin respuesta,1499.72,API,VAN,Media,Mal encoding,Sí,Sí,EPICOR,0.0,0.0
Falla,810,2025-10-07,23025,606.01,89.0,X12,,Sin respuesta,2199.05,OFTP,Legacy,Baja,Fallo en unidades de medida,Sí,Sí,SEEBURGER,267.0,4.45
Éxito,810,2025-03-11,20571,468.71,69.0,EDIFACT,,Formato inválido,1700.83,AS2,Legacy,Media,Falta un campo mandatorio,Sí,Sí,SAP,0.0,0.0
Éxito,862,2025-07-21,12660,533.34,78.0,EDIFACT,,Error de autenticación,1935.35,AS2,SAP,Alta,Fallo en unidades de medida,No,Sí,VAN,0.0,0.0
Éxito,810,2025-07-31,14800,514.45,75.0,EDIFACT,S4HANA,Timeout,1866.81,API,Legacy,Baja,Fallo en unidades de medida,No,Sí,SEEBURGER,0.0,0.0
Éxito,856,2025-08-19,18845,418.83,61.0,X12,410,Formato inválido,1519.83,AS2,SAP,Alta,Documento parcialmente transmitido,Sí,No,EPICOR,0.0,0.0
Éxito,830,2025-01-13,29533,555.96,81.0,X12,ECC6.0,Desincronización de reloj,2017.44,AS2,SAP,Media,Desincronización de reloj,Sí,No,SEEBURGER,0.0,0.0
Éxito,830,2025-04-02,10130,377.98,55.0,EDIFACT,SAP PI,Desincronización de reloj,1371.59,API,SAP,Alta,Duplicado,No,Sí,SAP,0.0,0.0
Falla,830,2025-08-21,1956,592.84,87.0,X12,SAP PI,Desincronización de reloj,2151.26,API,,Alta,Fallo en unidades de medida,No,Sí,SEEBURGER,261.0,4.35
Éxito,862,2025-10-30,24652,414.61,61.0,EDIFACT,S4HANA,Desincronización de reloj,1504.51,AS2,Legacy,Baja,Mal encoding,Sí,Sí,LEGACY,0.0,0.0
Éxito,830,2025-12-31,21702,383.52,56.0,X12,S4HANA,Sin respuesta,1391.7,AS2,SAP,Baja,Duplicado,No,Sí,LEGACY,0.0,0.0
Éxito,810,2025-08-21,27180,509.39,74.0,EDIFACT,SAP PI,,1848.44,API,Legacy,Media,Error de autenticación,No,Sí,EPICOR,0.0,0.0
Éxito,862,2025-02-16,31648,309.58,45.0,X12,410,Error de autenticación,1123.39,OFTP,Legacy,Baja,Duplicado,Sí,Sí,LEGACY,0.0,0.0
Éxito,850,2025-05-09,11311,498.72,73.0,X12,R/3,Timeout,1809.73,API,WEBEDI,Media,Fallo en unidades de medida,No,Sí,SAP,0.0,0.0
Éxito,850,2025-06-15,13305,561.13,82.0,EDIFACT,R/3,Timeout,2036.2,API,Legacy,Baja,Duplicado,Sí,No,SEEBURGER,0.0,0.0
Éxito,856,2025-12-21,3013,563.86,82.0,X12,R/3,Error de autenticación,2046.1,API,SAP,Media,Formato no soportado,Sí,Sí,SEEBURGER,0.0,0.0
Éxito,856,2025-11-29,6239,422.62,62.0,X12,R/3,Sin respuesta,1533.58,API,Legacy,Baja,Desincronización de reloj,No,Sí,SEEBURGER,0.0,0.0
Éxito,850,2025-12-31,18276,436.79,64.0,EDIFACT,ECC6.0,Desincronización de reloj,1585.0,FTPS,SAP,Alta,Desincronización de reloj,Sí,Sí,LEGACY,0.0,0.0
Éxito,856,2025-03-25,4122,516.32,75.0,EDIFACT,410,Desincronización de reloj,1873.59,FTPS,Legacy,Alta,Fallo en unidades de medida,Sí,Sí,SAP,0.0,0.0
Falla,810,2025-03-05,17219,603.85,88.0,EDIFACT,R/3,,2191.22,SFTP,WEBEDI,Alta,Duplicado,No,Sí,LEGACY,264.0,4.4
Falla,830,2025-12-28,10613,637.08,93.0,EDIFACT,R/3,Formato inválido,2311.8,OFTP,Legacy,Alta,Error de autenticación,Sí,Sí,VAN,279.0,4.65
Éxito,810,2025-11-21,7542,405.77,59.0,EDIFACT,S4HANA,Sin respuesta,1472.43,AS2,Legacy,Baja,Duplicado,No,Sí,LEGACY,0.0,0.0
Éxito,856,2025-07-05,28534,461.25,67.0,EDIFACT,,Sin respuesta,1673.76,API,Legacy,Alta,Formato no soportado,Sí,No,SEEBURGER,0.0,0.0
Falla,856,2025-02-13,21485,710.79,104.0,EDIFACT,,Timeout,2579.27,API,,Media,Falta un campo mandatorio,Sí,Sí,EPICOR,300.0,5.2
Falla,810,2025-09-26,33243,588.02,86.0,X12,SAP PI,Timeout,,API,Legacy,Media,Error de autenticación,Sí,Sí,LEGACY,258.0,4.3
Éxito,810,2025-12-29,6711,495.06,72.0,X12,R/3,Desincronización de reloj,1796.44,API,SAP,Media,Mal encoding,Sí,No,EPICOR,0.0,0.0
Falla,830,2025-07-16,6009,614.25,90.0,X12,SAP PI,Timeout,2228.95,AS2,Legacy,Baja,Documento parcialmente transmitido,No,Sí,EPICOR,270.0,4.5
Éxito,856,2025-09-19,7943,451.75,,EDIFACT,410,Formato inválido,1639.28,AS2,Legacy,Baja,Documento parcialmente transmitido,No,Sí,EPICOR,0.0,0.0
Éxito,856,2025-11-10,25539,515.78,75.0,X12,S4HANA,Sin respuesta,1871.63,AS2,Legacy,Alta,Duplicado,No,Sí,SEEBURGER,0.0,0.0
Éxito,862,2025-03-23,27865,469.01,69.0,EDIFACT,SAP PI,Desincronización de reloj,1701.92,AS2,Legacy,Alta,Falta un campo mandatorio,No,Sí,LEGACY,0.0,0.0
Falla,830,2025-07-13,7717,570.76,83.0,EDIFACT,410,Timeout,2071.14,OFTP,Legacy,Baja,Falta un campo mandatorio,No,Sí,LEGACY,249.0,4.15
Falla,810,2025-10-09,25770,570.21,83.0,X12,410,Desincronización de reloj,2069.14,API,Legacy,Baja,Error de autenticación,Sí,Sí,SEEBURGER,249.0,4.15
Éxito,810,2025-07-14,1761,522.31,76.0,EDIFACT,ECC6.0,Error de autenticación,1895.33,AS2,WEBEDI,Baja,Duplicado,Sí,No,SAP,0.0,0.0
Éxito,850,2025-01-23,8334,550.41,80.0,EDIFACT,,Timeout,1997.3,SFTP,Legacy,Media,Error de autenticación,Sí,Sí,SIMTEL,0.0,0.0
Falla,810,2025-03-29,28090,613.67,90.0,EDIFACT,SAP PI,,2226.85,AS2,SAP,Alta,Duplicado,No,Sí,SEEBURGER,270.0,4.5
Éxito,856,2025-06-21,11028,546.63,,EDIFACT,410,Sin respuesta,1983.58,AS2,Legacy,Baja,Mal encoding,No,Sí,LEGACY,0.0,0.0
Éxito,810,2025-10-17,14747,522.56,76.0,EDIFACT,R/3,Formato inválido,1896.24,AS2,SAP,Media,Mal encoding,No,Sí,SIMTEL,0.0,0.0
Éxito,856,2025-12-04,7445,542.67,79.0,X12,ECC6.0,Sin respuesta,1969.21,AS2,SAP,Alta,Fallo en unidades de medida,Sí,Sí,LEGACY,0.0,0.0
Falla,856,2025-03-18,24019,621.22,91.0,X12,R/3,Error de autenticación,2254.25,API,SAP,Alta,Mal encoding,No,Sí,SIMTEL,273.0,4.55
Éxito,830,2025-03-25,24760,407.59,60.0,X12,SAP PI,Timeout,1479.04,API,Legacy,Alta,Formato no soportado,No,Sí,SAP,0.0,0.0
Éxito,810,2025-03-16,24713,541.58,79.0,X12,410,Error de autenticación,1965.25,AS2,SAP,Baja,Desincronización de reloj,No,Sí,SEEBURGER,0.0,0.0
Éxito,830,2025-04-02,31361,311.3,46.0,X12,SAP PI,Formato inválido,1129.63,AS2,VAN,Alta,Documento parcialmente transmitido,Sí,Sí,LEGACY,0.0,0.0
Éxito,856,2025-12-31,33060,471.71,69.0,X12,410,Timeout,1711.71,SFTP,SAP,Baja,Error de autenticación,Sí,Sí,SIMTEL,0.0,0.0
Falla,810,2025-01-27,1835,688.5,101.0,X12,410,Timeout,2498.39,AS2,Legacy,Baja,Error de autenticación,No,Sí,EPICOR,300.0,5.05
Éxito,810,2025-08-03,9170,420.96,62.0,X12,410,,1527.56,API,VAN,Alta,Formato no soportado,Sí,No,SAP,0.0,0.0
Éxito,830,2025-06-07,4280,336.85,49.0,X12,ECC6.0,Error de autenticación,1222.34,AS2,Legacy,Media,Duplicado,No,Sí,SAP,0.0,0.0
Éxito,830,2025-06-08,26880,405.43,59.0,EDIFACT,,Sin respuesta,1471.2,API,Legacy,Alta,Duplicado,Sí,Sí,SAP,0.0,0.0
Éxito,856,2025-05-28,20322,486.85,71.0,X12,410,Desincronización de reloj,1766.65,FTPS,SAP,Baja,Duplicado,Sí,Sí,SIMTEL,0.0,0.0
Éxito,810,2025-11-17,20692,399.37,58.0,EDIFACT,ECC6.0,Sin respuesta,1449.21,FTPS,Legacy,Media,Duplicado,No,Sí,SIMTEL,0.0,0.0
Éxito,862,2025-03-02,14760,542.73,79.0,EDIFACT,S4HANA,Formato inválido,1969.43,AS2,SAP,Baja,Fallo en unidades de medida,Sí,Sí,VAN,0.0,0.0
Éxito,862,2025-03-09,6691,384.34,56.0,X12,ECC6.0,,1394.67,SFTP,SAP,Baja,Documento parcialmente transmitido,Sí,Sí,LEGACY,0.0,0.0
Éxito,850,2025-04-14,27017,477.83,70.0,X12,SAP PI,Desincronización de reloj,1733.92,API,SAP,Baja,Desincronización de reloj,No,Sí,SAP,0.0,0.0
Falla,856,2025-01-02,4664,713.26,104.0,EDIFACT,R/3,Error de autenticación,2588.24,API,VAN,Baja,Documento parcialmente transmitido,No,Sí,LEGACY,300.0,5.2
Éxito,850,2025-11-15,10595,469.04,69.0,EDIFACT,SAP PI,,1702.02,AS2,SAP,Media,Formato no soportado,No,Sí,VAN,0.0,0.0
Éxito,850,2025-05-10,13125,330.6,48.0,EDIFACT,SAP PI,Desincronización de reloj,1199.66,API,Legacy,Baja,Documento parcialmente transmitido,No,Sí,SAP,0.0,0.0
